"id","username","tag","playtime","matches","rating","level","loses","damage_round","headshot","win","wins","kills","deaths","assists","kad_ratio","kills_round","clutches","top_agents_1","top_hours_agent_1","top_matches_agent_1","top_win_agent_1","top_kd_agent_1","top_weapon_1","top_weapon_headshot_1","top_weapon_2","top_weapon_headshot_2","top_maps_1","top_porcentagem_map_win_1"
2382,"jnn ","VMOP","1,409h Playtime ","2,537 Matches ","434","398","1197","146.0","21.2%","51.0%","1,295","42,060","38,425","13,541","{1.45}","{0.8}","{607}","{Jett}","{""314 hours""}","{571}","50.8%","{1.16}",NULL,NULL,NULL,NULL,NULL,NULL
2383,"Deus no DEMONN ","8556","806h Playtime ","1,416 Matches ","434","266","650","156.2","22.1%","53.0%","750","25,566","20,849","7,602","{1.59}","{0.9}","{360}","{Fade}","{""136 hours""}","{237}","55.3%","{1.22}",NULL,NULL,NULL,NULL,NULL,NULL
2384,"The Suspect ","THIEF","141h Playtime ","262 Matches ","434","63","91","173.8","26.8%","64.1%","168","5,163","3,530","789","{1.69}","{1.0}","{76}","{Jett}","{""77 hours""}","{144}","72.2%","{1.59}","Vandal","38%","Operator","7%","Ascent","69.4%"
2385,"Amord ","9557","1,606h Playtime ","2,932 Matches ","415","316","1426","135.8","23.2%","50.3%","1,474","45,625","43,720","15,947","{1.41}","{0.7}","{868}","{Chamber}","{""330 hours""}","{611}","49.1%","{1.18}","Vandal","36%","Operator","7%","Fracture","56.6%"
2386,"404 Rimuu ","Aiiko","1,895h Playtime ","3,310 Matches ","434","459","1586","139.1","26.8%","50.6%","1,675","52,454","49,654","17,681","{1.41}","{0.8}","{933}","{Jett}","{""198 hours""}","{349}","50.4%","{1.08}",NULL,NULL,NULL,NULL,NULL,NULL
2387,"gmilania ","6341","2,156h Playtime ","3,867 Matches ","433","350","1845","149.1","18.0%","50.9%","1,970","63,159","60,887","19,000","{1.35}","{0.8}","{893}","{Jett}","{""1,402 hours""}","{""2,520""}","51.9%","{1.06}","Phantom","25%","Vandal","31%","Sunset","56.7%"
2388,"stepmomsawmy6cm ","6cm","558h Playtime ","992 Matches ","444","292","449","152.3","24.6%","53.2%","528","16,793","14,408","5,704","{1.56}","{0.8}","{306}","{Jett}","{""147 hours""}","{266}","55.6%","{1.26}",NULL,NULL,NULL,NULL,NULL,NULL
2389,"porkychop ","Azure","1,612h Playtime ","2,877 Matches ","433","322","1329","158.0","19.5%","52.1%","1,499","51,053","41,356","13,272","{1.56}","{0.9}","{800}","{Jett}","{""406 hours""}","{736}","49.0%","{1.28}",NULL,NULL,NULL,NULL,NULL,NULL
2390,"ZeFRy ","Akira","1,513h Playtime ","2,627 Matches ","433","476","1249","145.5","26.8%","50.8%","1,335","43,477","37,892","15,790","{1.56}","{0.8}","{867}","{Killjoy}","{""233 hours""}","{392}","51.3%","{1.25}",NULL,NULL,NULL,NULL,NULL,NULL
2391,"GHR Yuta ","saph","3,560h Playtime ","6,339 Matches ","471","622","3134","143.2","25.3%","49.4%","3,129","104,982","104,454","26,386","{1.26}","{0.8}","{""1,210""}","{Jett}","{""765 hours""}","{""1,344""}","47.8%","{1.03}",NULL,NULL,NULL,NULL,NULL,NULL
2392,"GUP Freshtzin ","000","1,178h Playtime ","2,124 Matches ","433","290","1015","140.0","30.5%","51.2%","1,087","33,575","31,741","11,421","{1.42}","{0.7}","{561}","{Jett}","{""154 hours""}","{272}","48.9%","{1.10}","Vandal","46%","Phantom","37%","Breeze","56.7%"
2393,"reyyko ","000","1,150h Playtime ","1,998 Matches ","452","223","958","137.1","23.8%","50.2%","1,003","30,642","30,583","12,113","{1.40}","{0.7}","{453}","{Reyna}","{""162 hours""}","{286}","51.4%","{1.12}","Vandal","34%","Phantom","33%","Sunset","53.2%"
2394,"KE AMB ","KNG","1,360h Playtime ","2,364 Matches ","433","321","1145","125.1","15.2%","50.8%","1,202","31,716","35,539","14,479","{1.30}","{0.6}","{575}","{Sage}","{""412 hours""}","{700}","46.3%","{0.61}",NULL,NULL,NULL,NULL,NULL,NULL
2395,"myst1 ","ASCKK","398h Playtime ","734 Matches ","420","96","327","154.9","26.9%","54.2%","398","12,732","11,387","4,096","{1.48}","{0.8}","{177}","{Reyna}","{""83 hours""}","{155}","49.7%","{1.15}","Vandal","36%","Phantom","36%","Fracture","61.5%"
2396,"Skp ","777","1,219h Playtime ","2,173 Matches ","433","431","1012","148.2","24.8%","52.0%","1,130","36,020","32,100","12,802","{1.52}","{0.8}","{571}","{Omen}","{""135 hours""}","{248}","58.1%","{1.19}","Vandal","38%","Phantom","30%","Fracture","57.2%"
2397,"izze ","war","3,316h Playtime ","5,877 Matches ","432","655","2850","135.4","20.6%","50.5%","2,970","88,431","85,632","37,339","{1.47}","{0.7}","{""1,893""}","{Sova}","{""501 hours""}","{891}","50.5%","{1.03}",NULL,NULL,NULL,NULL,NULL,NULL
2398,"Jeppe ","4451","1,850h Playtime ","3,377 Matches ","432","342","1636","158.8","32.1%","50.8%","1,717","60,659","53,542","12,260","{1.36}","{0.9}","{582}","{Jett}","{""594 hours""}","{""1,094""}","51.6%","{1.13}","Vandal","44%","Phantom","38%","Haven","52.5%"
2399,"VaNish ","11111","1,095h Playtime ","1,971 Matches ","432","260","922","142.0","26.3%","52.5%","1,034","31,096","30,826","10,716","{1.36}","{0.7}","{415}","{Raze}","{""204 hours""}","{369}","56.6%","{1.03}","Vandal","39%","Phantom","37%","Breeze","58.5%"
2400,"ASMR系VALOプレイヤー ","kamna","836h Playtime ","1,463 Matches ","432","233","692","151.2","27.6%","51.7%","757","24,455","22,514","6,474","{1.37}","{0.8}","{264}","{Reyna}","{""295 hours""}","{521}","54.1%","{1.20}","Vandal","40%","Phantom","28%","Fracture","61.5%"
2401,"Secret invy ","s2pid","1,727h Playtime ","3,112 Matches ","432","414","1398","155.8","29.3%","54.1%","1,684","56,069","47,370","18,049","{1.56}","{0.8}","{798}","{Sova}","{""358 hours""}","{643}","56.3%","{1.18}","Vandal","43%","Phantom","37%","Pearl","59.4%"
2402,"MrPepe ","frog","1,399h Playtime ","2,456 Matches ","432","308","1177","146.1","26.6%","50.9%","1,249","40,923","37,800","9,994","{1.35}","{0.8}","{576}","{Reyna}","{""393 hours""}","{685}","52.3%","{1.20}","Vandal","38%","Phantom","29%","Sunset","63.8%"
2403,"zeytrost ","9444","2,173h Playtime ","3,874 Matches ","460","546","1888","141.3","25.8%","49.7%","1,925","62,657","63,431","16,481","{1.25}","{0.8}","{698}","{Jett}","{""704 hours""}","{""1,254""}","50.6%","{0.99}",NULL,NULL,NULL,NULL,NULL,NULL
2404,"IMP Kotaro ","2005","1,638h Playtime ","2,850 Matches ","432","542","1360","141.9","29.3%","50.9%","1,451","46,569","44,358","12,500","{1.33}","{0.8}","{691}","{Jett}","{""591 hours""}","{""1,019""}","52.5%","{1.11}",NULL,NULL,NULL,NULL,NULL,NULL
2405,"OpenUpTheSkye ","NieR","1,770h Playtime ","3,154 Matches ","405","593","1493","141.7","26.9%","50.9%","1,604","48,681","50,438","13,831","{1.24}","{0.7}","{541}","{Reyna}","{""332 hours""}","{603}","52.9%","{1.08}",NULL,NULL,NULL,NULL,NULL,NULL
2406,"NAH ID WIN ","2049","1,488h Playtime ","2,645 Matches ","432","250","1267","140.6","25.9%","50.9%","1,347","40,694","38,516","16,375","{1.48}","{0.7}","{756}","{Sova}","{""302 hours""}","{538}","50.9%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
2407,"yoloswagbossgang ","money","3,931h Playtime ","7,097 Matches ","416","777","3482","144.4","29.1%","49.5%","3,515","113,239","109,378","37,688","{1.38}","{0.8}","{""1,504""}","{Sova}","{""1,108 hours""}","{""2,013""}","50.3%","{1.04}",NULL,NULL,NULL,NULL,NULL,NULL
2408,"atlas ","fil","1,682h Playtime ","3,036 Matches ","430","424","1472","146.2","27.6%","50.5%","1,532","49,911","48,064","15,014","{1.35}","{0.8}","{702}","{Jett}","{""374 hours""}","{673}","51.4%","{1.10}","Vandal","41%","Phantom","33%","Breeze","54.9%"
2409,"kev ","jen","4,710h Playtime ","8,510 Matches ","431","927","4185","142.5","24.5%","49.7%","4,227","142,315","142,453","37,984","{1.27}","{0.8}","{""1,248""}","{Jett}","{""2,136 hours""}","{""3,840""}","50.7%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
2410,"HeliosWarning ","aim","1,331h Playtime ","2,433 Matches ","431","280","1155","146.2","23.0%","51.3%","1,247","40,010","38,209","11,333","{1.34}","{0.8}","{516}","{Reyna}","{""345 hours""}","{625}","49.3%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
2411,"potato484 ","0000","1,450h Playtime ","2,670 Matches ","410","337","1218","140.4","26.9%","52.9%","1,412","42,521","41,380","15,187","{1.39}","{0.7}","{635}","{Killjoy}","{""158 hours""}","{289}","50.2%","{1.05}","Vandal","39%","Phantom","33%","Lotus","59.8%"
2412,"LOUD lissA ","LLL","2,292h Playtime ","4,014 Matches ","431","644","1881","122.8","30.2%","51.4%","2,063","55,902","60,834","19,382","{1.24}","{0.7}","{981}","{Killjoy}","{""427 hours""}","{756}","53.7%","{0.95}",NULL,NULL,NULL,NULL,NULL,NULL
2413,"konato ","JESUS","635h Playtime ","1,112 Matches ","379","186","504","145.5","24.5%","52.9%","588","18,216","16,624","5,582","{1.43}","{0.8}","{289}","{Killjoy}","{""147 hours""}","{257}","52.1%","{1.09}","Vandal","33%","Ghost","37%","Pearl","62.2%"
2414,"Freizy ","ocaP","1,779h Playtime ","3,171 Matches ","391","454","1517","132.0","28.2%","50.8%","1,611","47,537","47,787","18,221","{1.38}","{0.7}","{793}","{Omen}","{""525 hours""}","{931}","51.3%","{1.01}","Vandal","41%","Phantom","36%","Haven","52.3%"
2415,"maxx ","3584","1,420h Playtime ","2,484 Matches ","431","513","1153","132.4","24.2%","51.9%","1,289","37,604","35,902","13,560","{1.43}","{0.7}","{778}","{Sage}","{""240 hours""}","{413}","54.7%","{1.04}",NULL,NULL,NULL,NULL,NULL,NULL
2416,"SHEEP ","bob","416h Playtime ","769 Matches ","414","133","331","147.3","26.7%","55.8%","429","12,679","10,707","4,495","{1.60}","{0.8}","{234}","{Sova}","{""105 hours""}","{187}","57.2%","{1.14}","Vandal","40%","Phantom","29%","Sunset","63.9%"
2417,"The Wukong God ","420","1,707h Playtime ","3,094 Matches ","389","319","1506","158.5","25.6%","50.2%","1,554","54,951","49,547","12,996","{1.37}","{0.8}","{573}","{Jett}","{""589 hours""}","{""1,074""}","52.2%","{1.14}","Vandal","38%","Phantom","35%","Pearl","56.7%"
2418,"rAx ","VAL","6,342h Playtime ","11,051 Matches ","431","1,041","5514","123.4","27.0%","48.8%","5,396","154,021","172,540","68,787","{1.29}","{0.7}","{""2,737""}","{Cypher}","{""1,322 hours""}","{""2,300""}","48.9%","{0.91}",NULL,NULL,NULL,NULL,NULL,NULL
2419,"LFT RISE ","Aimee","1,649h Playtime ","2,968 Matches ","431","344","1413","160.4","35.2%","51.2%","1,519","54,072","48,560","11,639","{1.35}","{0.9}","{545}","{Jett}","{""398 hours""}","{709}","49.6%","{1.10}",NULL,NULL,NULL,NULL,NULL,NULL
2420,"nekky ","kkkkk","3,184h Playtime ","5,730 Matches ","431","705","2809","149.3","29.8%","50.0%","2,866","96,898","91,728","27,230","{1.35}","{0.8}","{""1,112""}","{Jett}","{""629 hours""}","{""1,121""}","50.0%","{1.11}",NULL,NULL,NULL,NULL,NULL,NULL
2421,"Gowther ","Gene","1,435h Playtime ","2,525 Matches ","431","284","1216","144.7","17.9%","50.0%","1,263","39,829","39,930","11,959","{1.30}","{0.8}","{490}","{Reyna}","{""265 hours""}","{459}","51.0%","{1.09}","Vandal","28%","Phantom","24%","Sunset","71.1%"
2422,"nas ","3233","1,477h Playtime ","2,688 Matches ","431","355","1317","150.3","26.0%","49.7%","1,336","46,884","42,089","12,133","{1.40}","{0.8}","{621}","{Jett}","{""367 hours""}","{666}","51.4%","{1.16}","Vandal","38%","Phantom","34%","Pearl","52.9%"
2423,"mts ","1400","1,674h Playtime ","2,987 Matches ","439","381","1416","145.2","30.4%","51.2%","1,530","49,615","48,005","13,118","{1.31}","{0.8}","{627}","{Jett}","{""375 hours""}","{679}","53.8%","{1.08}",NULL,NULL,NULL,NULL,NULL,NULL
2424,"Physic ","5193","1,333h Playtime ","2,408 Matches ","431","272","1148","152.4","30.4%","51.4%","1,238","41,536","38,190","10,639","{1.37}","{0.8}","{502}","{Jett}","{""333 hours""}","{598}","50.2%","{1.11}","Vandal","49%","Ghost","56%","Breeze","56.6%"
2425,"Duelist ","7492","625h Playtime ","1,117 Matches ","431","154","516","144.0","23.9%","52.6%","587","18,387","18,065","4,946","{1.29}","{0.8}","{190}","{Jett}","{""231 hours""}","{412}","50.0%","{1.03}","Vandal","40%","Phantom","35%","Bind","60.4%"
2426,"Liquid joojina ","xnm","1,931h Playtime ","3,397 Matches ","431","466","1648","130.4","25.5%","50.0%","1,700","50,909","50,862","19,553","{1.39}","{0.7}","{867}","{Omen}","{""413 hours""}","{735}","50.5%","{0.98}",NULL,NULL,NULL,NULL,NULL,NULL
2427,"MDL kibojn ","zzz","1,511h Playtime ","2,700 Matches ","431","484","1213","147.3","26.1%","54.1%","1,462","45,280","39,042","16,936","{1.59}","{0.8}","{897}","{Jett}","{""230 hours""}","{414}","52.9%","{1.09}",NULL,NULL,NULL,NULL,NULL,NULL
2428,"tryh4rdd ","PPP","610h Playtime ","1,139 Matches ","431","153","527","143.3","30.0%","53.1%","605","18,310","18,786","5,449","{1.26}","{0.8}","{174}","{Jett}","{""211 hours""}","{388}","50.0%","{0.97}","Vandal","43%","Ghost","47%","Sunset","62.1%"
2429,"毛大郭 ","一坨爛泥","527h Playtime ","937 Matches ","431","409","420","129.9","20.2%","54.5%","511","13,525","13,799","5,215","{1.36}","{0.7}","{224}","{Sage}","{""109 hours""}","{194}","48.5%","{0.55}","Vandal","29%","Phantom","26%","Sunset","64.3%"
2430,"kring 陽 ","jska","1,599h Playtime ","2,782 Matches ","431","424","1315","161.4","25.3%","50.9%","1,416","50,095","44,145","13,685","{1.44}","{0.8}","{586}","{Jett}","{""555 hours""}","{966}","49.5%","{1.13}","Vandal","39%","Phantom","29%","Sunset","59.4%"
2431,"Cekerz ","ARG","2,637h Playtime ","4,744 Matches ","431","530","2300","143.2","31.3%","49.5%","2,350","77,183","77,399","21,409","{1.27}","{0.8}","{829}","{Reyna}","{""1,250 hours""}","{""2,249""}","49.8%","{1.05}","Vandal","43%","Phantom","37%","Breeze","54.3%"
2432,"drippinsopretty ","clenz","701h Playtime ","1,265 Matches ","409","140","577","174.0","24.9%","52.4%","663","25,091","18,791","4,794","{1.59}","{0.9}","{293}","{Reyna}","{""375 hours""}","{675}","54.1%","{1.40}","Vandal","36%","Spectre","23%","Split","58.4%"
2433,"123456789 ","snky","704h Playtime ","1,284 Matches ","430","173","596","157.3","29.8%","51.8%","665","22,453","20,718","5,461","{1.35}","{0.8}","{241}","{Jett}","{""267 hours""}","{490}","52.4%","{1.10}","Vandal","41%","Sheriff","59%","Pearl","67.6%"
2434,"jvks ","60hz","706h Playtime ","1,247 Matches ","430","162","577","147.7","32.7%","51.9%","647","20,982","18,412","5,520","{1.44}","{0.8}","{320}","{Jett}","{""106 hours""}","{189}","51.3%","{1.13}","Vandal","48%","Sheriff","53%","Lotus","64.5%"
2435,"Shy ","toxic","1,291h Playtime ","2,258 Matches ","430","348","1107","150.6","22.4%","49.4%","1,115","37,273","33,674","11,137","{1.44}","{0.8}","{528}","{Jett}","{""244 hours""}","{429}","51.7%","{1.12}","Vandal","33%","Phantom","27%","Sunset","55.0%"
2436,"caiobaz ","gon","4,149h Playtime ","7,369 Matches ","430","728","3603","151.1","24.3%","49.4%","3,637","122,223","122,899","42,302","{1.34}","{0.8}","{""1,235""}","{Raze}","{""748 hours""}","{""1,320""}","51.4%","{0.99}","Vandal","38%","Phantom","31%","Sunset","54.1%"
2437,"stepmomsawmy6cm ","god","476h Playtime ","863 Matches ","430","126","337","179.0","30.4%","60.0%","518","18,161","12,852","2,941","{1.64}","{1.0}","{209}","{Jett}","{""335 hours""}","{610}","62.3%","{1.46}","Vandal","52%","Operator","6%","Icebox","72.7%"
2438,"F4F SKYE ","Birds","1,599h Playtime ","2,860 Matches ","430","373","1389","120.4","19.4%","49.5%","1,417","38,187","42,058","18,784","{1.35}","{0.6}","{804}","{Skye}","{""1,179 hours""}","{""2,117""}","51.9%","{0.93}",NULL,NULL,NULL,NULL,NULL,NULL
2439,"SZ Lumo ","5745","693h Playtime ","1,218 Matches ","430","245","548","158.5","24.2%","53.9%","656","21,889","17,687","6,821","{1.62}","{0.8}","{354}","{Sova}","{""89 hours""}","{154}","57.8%","{1.22}",NULL,NULL,NULL,NULL,NULL,NULL
2440,"GEEK slathom999 ","abyss","1,459h Playtime ","2,624 Matches ","430","295","1190","159.5","26.6%","53.5%","1,404","47,708","38,539","14,041","{1.60}","{0.9}","{726}","{Sova}","{""305 hours""}","{544}","54.8%","{1.26}",NULL,NULL,NULL,NULL,NULL,NULL
2441,"Nile ","fps","531h Playtime ","977 Matches ","430","174","431","151.8","26.8%","55.0%","537","16,775","14,795","4,532","{1.44}","{0.8}","{220}","{Jett}","{""91 hours""}","{172}","54.1%","{1.15}",NULL,NULL,NULL,NULL,NULL,NULL
2442,"Chips ","GFY","1,415h Playtime ","2,543 Matches ","430","324","1206","142.0","23.0%","51.3%","1,304","40,332","39,828","12,765","{1.33}","{0.8}","{529}","{Chamber}","{""373 hours""}","{671}","52.6%","{1.12}","Vandal","35%","Phantom","27%","Sunset","59.5%"
2443,"URASAKU ","urn","1,613h Playtime ","2,716 Matches ","429","447","1312","137.1","26.3%","50.4%","1,369","42,887","39,265","13,669","{1.44}","{0.7}","{729}","{Sova}","{""192 hours""}","{326}","54.0%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
2444,"Necro ","2ez","1,311h Playtime ","2,401 Matches ","429","312","1130","151.7","25.2%","51.4%","1,235","41,408","38,792","10,766","{1.34}","{0.8}","{470}","{Jett}","{""450 hours""}","{821}","51.8%","{1.09}",NULL,NULL,NULL,NULL,NULL,NULL
2445,"Maestro ","1Tap","356h Playtime ","695 Matches ","429","127","304","163.1","22.2%","55.4%","385","11,967","9,847","2,551","{1.47}","{0.9}","{138}","{Jett}","{""178 hours""}","{337}","64.4%","{1.33}","Vandal","34%","Operator","7%","Sunset","61.0%"
2446,"Crest ","Jett","1,060h Playtime ","1,912 Matches ","429","329","893","158.6","26.3%","52.1%","996","34,148","30,655","7,906","{1.37}","{0.8}","{387}","{Jett}","{""719 hours""}","{""1,301""}","52.5%","{1.15}",NULL,NULL,NULL,NULL,NULL,NULL
2447,"AEA fROKIZ ","FRA","1,914h Playtime ","3,394 Matches ","429","362","1663","153.1","23.8%","49.9%","1,695","57,301","54,892","18,634","{1.38}","{0.8}","{715}","{Jett}","{""479 hours""}","{846}","46.9%","{1.06}",NULL,NULL,NULL,NULL,NULL,NULL
2448,"Dạ Vâng A Iu E ","6868","819h Playtime ","1,502 Matches ","431","220","694","122.8","19.9%","53.1%","797","20,117","23,431","7,142","{1.16}","{0.6}","{324}","{Sova}","{""155 hours""}","{286}","52.4%","{0.79}",NULL,NULL,NULL,NULL,NULL,NULL
2449,"asteriskk ","BWL","1,309h Playtime ","2,381 Matches ","429","360","1152","134.3","22.1%","51.0%","1,214","37,264","35,223","13,902","{1.45}","{0.7}","{664}","{Skye}","{""164 hours""}","{305}","50.8%","{1.09}",NULL,NULL,NULL,NULL,NULL,NULL
2450,"FA Weber ","0000","1,364h Playtime ","2,430 Matches ","429","311","1159","148.2","27.5%","51.3%","1,247","41,239","37,680","12,055","{1.41}","{0.8}","{548}","{Sova}","{""291 hours""}","{520}","53.8%","{1.08}",NULL,NULL,NULL,NULL,NULL,NULL
2451,"keshi ","BIG","1,837h Playtime ","3,184 Matches ","429","373","1501","158.9","26.5%","52.0%","1,657","58,399","50,729","12,279","{1.39}","{0.9}","{598}","{Jett}","{""868 hours""}","{""1,506""}","53.1%","{1.18}","Vandal","41%","Operator","10%","Sunset","55.9%"
2452,"hown ","liu","1,583h Playtime ","2,811 Matches ","429","436","1407","141.1","28.4%","48.7%","1,369","44,847","43,792","12,608","{1.31}","{0.7}","{574}","{Jett}","{""295 hours""}","{524}","49.4%","{1.04}",NULL,NULL,NULL,NULL,NULL,NULL
2453,"Xer4 ","EUW","2,177h Playtime ","3,904 Matches ","429","443","1888","148.5","25.7%","50.2%","1,960","62,860","59,771","22,926","{1.44}","{0.8}","{990}","{Sova}","{""491 hours""}","{889}","50.8%","{1.05}","Vandal","39%","Phantom","34%","Sunset","54.4%"
2454,"HOWL Crewen ","bait","1,255h Playtime ","2,254 Matches ","429","438","952","153.5","31.5%","57.0%","1,285","39,593","33,742","10,460","{1.48}","{0.8}","{677}","{Cypher}","{""225 hours""}","{408}","63.7%","{1.24}",NULL,NULL,NULL,NULL,NULL,NULL
2455,"wippie ","kitty","2,499h Playtime ","4,484 Matches ","473","514","2004","156.4","22.3%","54.4%","2,441","79,124","66,043","25,610","{1.59}","{0.8}","{""1,183""}","{Viper}","{""297 hours""}","{538}","55.0%","{1.22}",NULL,NULL,NULL,NULL,NULL,NULL
2456,"f0rsaken ","Curse","4,825h Playtime ","8,420 Matches ","428","799","4203","145.1","23.2%","48.5%","4,085","130,471","126,608","61,040","{1.51}","{0.7}","{""2,324""}","{Sova}","{""3,623 hours""}","{""6,343""}","50.0%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
2457,"calm PA1NT ","Peak","1,917h Playtime ","3,436 Matches ","445","533","1621","155.0","24.9%","51.7%","1,778","61,592","53,603","18,282","{1.49}","{0.8}","{817}","{Jett}","{""315 hours""}","{574}","53.1%","{1.17}",NULL,NULL,NULL,NULL,NULL,NULL
2458,"Dozing ","2005","434h Playtime ","791 Matches ","428","139","341","157.6","23.7%","56.0%","443","13,443","11,265","3,601","{1.51}","{0.8}","{189}","{Reyna}","{""175 hours""}","{316}","59.2%","{1.22}","Vandal","32%","Ghost","37%","Sunset","63.9%"
2459,"YEE ","Pcaso","1,104h Playtime ","1,991 Matches ","428","369","983","133.2","28.2%","49.7%","990","29,503","29,895","10,161","{1.33}","{0.7}","{514}","{Sova}","{""141 hours""}","{256}","50.8%","{0.97}","Vandal","40%","Phantom","35%","Pearl","57.1%"
2460,"Hexis ","1583","1,151h Playtime ","2,065 Matches ","428","268","978","147.8","26.0%","50.8%","1,050","34,546","31,555","9,992","{1.41}","{0.8}","{503}","{Jett}","{""241 hours""}","{433}","48.5%","{1.17}","Vandal","38%","Phantom","34%","Breeze","58.5%"
2461,"OG 16Chops ","2005","2,992h Playtime ","5,481 Matches ","428","686","2675","146.5","30.8%","50.3%","2,758","93,208","89,789","23,363","{1.30}","{0.8}","{""1,055""}","{Jett}","{""1,011 hours""}","{""1,851""}","50.9%","{1.08}",NULL,NULL,NULL,NULL,NULL,NULL
2462,"asuzu ","asaa","410h Playtime ","717 Matches ","428","90","306","164.3","27.6%","54.7%","392","13,597","10,578","3,236","{1.59}","{0.9}","{190}","{Reyna}","{""134 hours""}","{236}","59.7%","{1.46}","Vandal","38%","Phantom","33%","Sunset","71.4%"
2463,"μνξ ","ψχτ","862h Playtime ","1,577 Matches ","439","213","730","164.9","23.8%","51.9%","819","28,089","25,078","6,398","{1.38}","{0.9}","{212}","{Reyna}","{""307 hours""}","{559}","56.0%","{1.23}","Vandal","35%","Phantom","28%","Breeze","64.1%"
2464,"MIZ wPanda ","5178","2,184h Playtime ","3,840 Matches ","428","456","1868","140.8","24.5%","50.2%","1,927","60,793","57,363","24,008","{1.48}","{0.7}","{""1,090""}","{Omen}","{""437 hours""}","{765}","50.3%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
2465,"kakuja ","aiman","2,097h Playtime ","3,794 Matches ","428","479","1822","149.2","20.2%","51.2%","1,941","64,921","57,181","27,209","{1.61}","{0.8}","{""1,031""}","{Sova}","{""475 hours""}","{867}","50.1%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
2466,"OP Braso ","7241","717h Playtime ","1,267 Matches ","428","197","577","148.9","29.7%","53.5%","678","21,757","19,016","5,823","{1.45}","{0.8}","{321}","{Chamber}","{""151 hours""}","{263}","52.5%","{1.24}",NULL,NULL,NULL,NULL,NULL,NULL
2467,"fundA ","1337","1,501h Playtime ","2,674 Matches ","483","339","1221","150.2","29.9%","53.1%","1,421","45,417","39,389","14,034","{1.51}","{0.8}","{691}","{Killjoy}","{""375 hours""}","{674}","55.0%","{1.22}",NULL,NULL,NULL,NULL,NULL,NULL
2468,"Rexor ","Beans","1,290h Playtime ","2,290 Matches ","428","320","1110","130.4","19.9%","50.1%","1,148","33,812","34,632","14,543","{1.40}","{0.7}","{537}","{Omen}","{""320 hours""}","{573}","49.9%","{0.98}","Vandal","29%","Phantom","25%","Lotus","57.0%"
2469,"DGR ","mamba","1,642h Playtime ","2,944 Matches ","410","412","1438","139.8","25.1%","50.0%","1,473","45,800","46,064","17,575","{1.38}","{0.7}","{670}","{Omen}","{""249 hours""}","{449}","50.6%","{1.00}","Vandal","36%","Phantom","30%","Fracture","56.6%"
2470,"Falcon KHaaLiD ","000","2,201h Playtime ","4,024 Matches ","415","651","1870","155.0","30.8%","52.0%","2,092","70,868","65,803","22,141","{1.41}","{0.8}","{843}","{Sova}","{""238 hours""}","{434}","55.1%","{1.06}",NULL,NULL,NULL,NULL,NULL,NULL
2471,"Nino ","noob","2,953h Playtime ","5,195 Matches ","428","624","2532","139.5","26.6%","49.6%","2,579","82,634","80,130","24,827","{1.34}","{0.8}","{""1,287""}","{Jett}","{""831 hours""}","{""1,463""}","50.4%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
2472,"remindz ","lxrd","585h Playtime ","1,070 Matches ","428","145","480","174.4","37.2%","53.8%","576","21,287","17,470","3,725","{1.43}","{0.9}","{184}","{Reyna}","{""425 hours""}","{774}","53.6%","{1.25}","Vandal","48%","Sheriff","56%","Breeze","69.3%"
2473,"Lessir ","sweet","354h Playtime ","653 Matches ","428","96","279","159.8","27.3%","55.9%","365","11,407","10,170","3,071","{1.42}","{0.8}","{119}","{Jett}","{""89 hours""}","{159}","57.2%","{1.41}","Vandal","40%","Sheriff","53%","Icebox","65.4%"
2474,"taeyoung ","4668","221h Playtime ","422 Matches ","428","68","176","161.2","33.4%","57.6%","243","7,405","6,336","1,624","{1.43}","{0.9}","{87}","{Jett}","{""44 hours""}","{84}","67.9%","{1.27}","Vandal","48%","Sheriff","57%","Icebox","69.2%"
2475,"Liebe ","0209","1,793h Playtime ","3,106 Matches ","428","395","1475","134.8","18.8%","50.7%","1,576","44,815","46,310","15,822","{1.31}","{0.7}","{874}","{Jett}","{""337 hours""}","{574}","49.7%","{0.97}",NULL,NULL,NULL,NULL,NULL,NULL
2476,"hayley ","minoo","351h Playtime ","642 Matches ","427","93","277","152.7","23.9%","56.1%","360","11,028","10,123","3,292","{1.41}","{0.8}","{141}","{Raze}","{""79 hours""}","{143}","60.8%","{1.07}","Vandal","44%","Ghost","44%","Haven","69.2%"
2477,"ScreamShopee ","1tap","915h Playtime ","1,648 Matches ","427","295","721","150.4","26.4%","55.3%","911","28,371","24,695","9,124","{1.52}","{0.8}","{408}","{Reyna}","{""116 hours""}","{211}","55.0%","{1.27}","Vandal","40%","Phantom","29%","Sunset","66.7%"
2478,"무농태를 잊는 방법 ","잊지못한다","343h Playtime ","613 Matches ","427","87","289","143.8","33.8%","52.5%","322","10,039","9,052","2,660","{1.40}","{0.8}","{171}","{Sova}","{""53 hours""}","{96}","58.3%","{1.10}","Vandal","47%","Sheriff","59%","Breeze","62.0%"
