"id","username","tag","playtime","matches","rating","level","loses","damage_round","headshot","win","wins","kills","deaths","assists","kad_ratio","kills_round","clutches","top_agents_1","top_hours_agent_1","top_matches_agent_1","top_win_agent_1","top_kd_agent_1","top_weapon_1","top_weapon_headshot_1","top_weapon_2","top_weapon_headshot_2","top_maps_1","top_porcentagem_map_win_1"
1118,"schmiggy ","mid","2,710h Playtime ","4,734 Matches ","544","514","2315","139.4","20.2%","49.6%","2,350","73,038","74,823","29,834","{1.37}","{0.7}","{976}","{Skye}","{""352 hours""}","{614}","51.1%","{0.97}","Vandal","31%","Phantom","27%","Icebox","53.0%"
1119,"AYM Michel ","cat","2,571h Playtime ","4,658 Matches ","544","566","2185","166.7","35.2%","51.8%","2,411","89,546","79,093","17,117","{1.35}","{0.9}","{677}","{Reyna}","{""817 hours""}","{""1,484""}","52.5%","{1.20}",NULL,NULL,NULL,NULL,NULL,NULL
1120,"иess 死 ","sync","727h Playtime ","1,293 Matches ","544","321","600","153.9","24.2%","52.6%","680","22,001","18,667","6,733","{1.54}","{0.8}","{430}","{Raze}","{""138 hours""}","{245}","57.1%","{1.20}",NULL,NULL,NULL,NULL,NULL,NULL
1121,"SLT BENECIA ","0919","1,266h Playtime ","2,233 Matches ","544","291","1056","141.9","24.8%","51.9%","1,158","35,635","32,416","17,302","{1.63}","{0.7}","{703}","{Omen}","{""409 hours""}","{723}","51.3%","{1.08}","Vandal","35%","Phantom","35%","Icebox","58.0%"
1122,"SantaGolf ","714","2,502h Playtime ","4,475 Matches ","544","687","2168","146.1","23.8%","51.1%","2,286","77,272","64,495","23,176","{1.56}","{0.8}","{""1,441""}","{Jett}","{""358 hours""}","{637}","49.9%","{1.22}",NULL,NULL,NULL,NULL,NULL,NULL
1123,"Gucio ","1111","1,843h Playtime ","3,280 Matches ","544","366","1596","135.9","21.4%","50.1%","1,642","51,857","49,514","15,493","{1.36}","{0.7}","{838}","{Chamber}","{""581 hours""}","{""1,024""}","50.9%","{1.16}",NULL,NULL,NULL,NULL,NULL,NULL
1124,"nedd ","HABIT","1,537h Playtime ","2,693 Matches ","544","333","1288","145.6","26.1%","51.1%","1,375","44,581","39,750","12,331","{1.43}","{0.8}","{791}","{Jett}","{""203 hours""}","{358}","47.2%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
1125,"JJH rDeeW ","999","1,604h Playtime ","2,754 Matches ","543","414","1271","156.3","25.3%","52.5%","1,445","51,559","41,089","13,017","{1.57}","{0.9}","{959}","{Cypher}","{""243 hours""}","{417}","53.5%","{1.21}","Vandal","39%","Phantom","32%","Sunset","66.7%"
1126,"zachareee ","aram","1,334h Playtime ","2,363 Matches ","563","377","1116","140.7","25.4%","52.0%","1,228","38,126","35,455","15,045","{1.50}","{0.8}","{654}","{Astra}","{""207 hours""}","{361}","53.2%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
1127,"Yoo Jonghyuk ","1863","1,359h Playtime ","2,398 Matches ","543","290","1109","153.5","31.0%","52.6%","1,262","44,683","35,545","10,070","{1.54}","{0.9}","{795}","{Neon}","{""862 hours""}","{""1,531""}","53.5%","{1.30}",NULL,NULL,NULL,NULL,NULL,NULL
